,article
174,"MILAN (Reuters) - Tests conducted on Fiat Chrysler vehicles show they are compliant with regulations and contain no emissions defeat devices as alleged by Germany, Italy’s transport ministry said in a statement on Monday. Tensions have risen between Rome and Berlin over the issue, with German Transport Minister Alexander Dobrindt saying at the weekend that Fiat Chrysler vehicles breaking emissions rules should be recalled and taken off the streets. “This is an inadmissible suggestion. You don’t give orders to a sovereign nation like Italy,” Italian Transport Minister Graziano Delrio said. Germany last year raised concerns over certain Fiat Chrysler (FCHA.MI) (FCAU.N) models, including the Fiat 500X, Fiat Doblo and Jeep Renegade, alleging that hidden software allowed excessive emissions by their diesel engines. The issue resurfaced last week when the U.S. Environmental Protection Agency accused Fiat Chrysler of manipulating emissions tests in its Jeep Grand Cherokee sport utility vehicles and Ram 1500 pick-up trucks. Fiat Chrysler has denied any wrongdoing. After Italy rejected Germany’s allegations last year, Berlin asked the European Commission to mediate in the dispute. Italy’s transport ministry said on Monday it had “carried out the necessary checks and sent a detailed report to the German authorities which shows that the Fiat 500X, in contrast to what is claimed by Germany, is in compliance with regulations”. It added that the European Commission did not appear to have conducted any tests of its own that would confirm the German allegations. An EU official has told Reuters that the Commission had taken emissions measurements on one rented Fiat 500X model. The Commission last week called on Italy to provide proof against Germany’s allegations. Rome on Monday dismissed Commission accusations that it was dragging its feet in the case, saying it has always responded to requests from Brussels in a punctual manner. The Commission could not immediately be reached for comment. Under an emissions testing regime which the Commission is now seeking to overhaul, national watchdogs approve new cars and have the exclusive power to police manufacturers - though once approved in one country, vehicles can be sold across the bloc. Volkswagen AG (VOWG_p.DE) admitted in September 2015 to installing secret software in hundreds of thousands of U.S. diesel cars to cheat exhaust emissions tests. Earlier this month it said it had negotiated a $4.3 billion draft settlement with U.S. regulators and would plead guilty to criminal misconduct over the issue. As part of a widening clampdown on health-threatening nitrogen oxide (NOx) pollution levels in the wake of the VW scandal, the Commission in December began legal action against Germany, Britain and five other EU member states for allegedly failing to police for cheating emissions tests. Reporting by Agnieszka Flak in Milan and Alissa De Carbonnel in Brussels; Editing by Greg Mahlich"
175,"Square Feet As schools focus more on safety, some architects are pushing back against a rush to load buildings with security equipment by promoting community over technology. Repeated school shootings have yet to force action on gun control in Washington, but safety advocates are trying to build support for another strategy to keep children safe: smart school design. Two bills pending in Congress would provide school districts with more information about safe school design, as well as money to pay for design services. As districts focus more intently on safety, some architects are pushing back against a rush to load up schools with security equipment by promoting community over technology. “The security industry is growing quickly, and they’re taking advantage of the fears of administrators and parents, selling them things that they’re promising will keep kids safe,” said Jenine Kotob, an architectural designer with Hord Coplan Macht in Alexandria, Va., who became committed to safe school design after a close friend died in the mass shooting at Virginia Tech in 2007. Legislation introduced in the Senate last month calls for the creation of a “school safety clearinghouse” in the Department of Homeland Security that would identify and share best practices on school building design for security and safety. The bill is supported by the American Institute of Architects, a professional organization. The institute is also backing a House bill that would make federal grant money available to school districts through the Stop School Violence Program that could be used for architecture and design services, rather than just security equipment like cameras and metal detectors. A central repository for “unbiased information” on safe school design is urgently needed by local and state school officials, said Jim Brewer, the organization’s managing director of government affairs and policy. “We don’t want them to just be Googling,” he said. One of the greatest concerns among school officials is “their inability to easily sift through the multitude of security options, equipment, technologies” available to them, according to a report released last year by a federal commission on school safety that was convened after the mass shooting at Marjory Stoneman Douglas High School in Parkland, Fla. Architects can help school districts find a more “holistic” solution that gives priority to creating a great learning environment, as opposed to a barricade approach, said Jay Brotman, the managing partner at Svigals and Partners, an architecture firm in New Haven, Conn. The firm designed the new Sandy Hook Elementary School in Newtown, Conn., after the mass shooting there in 2012. “Instead of hardening, you can create protective layers so kids can still feel connected to the nature outside and to their communities,” he said. “You don’t want them to feel isolated — isolation is the cause of some of these terrible things that have happened.” But the idea that the country would begin cataloging the school design strategies best suited to preventing shootings without also tightening access to guns does not sit well with some. Senator Chris Murphy, Democrat of Connecticut and a vocal advocate of stiffer gun control measures since the Newtown shootings, suggested in an emailed statement that he was not ready to support the clearinghouse measure. “Let’s be honest — the most important thing we can do to address the problem of gun violence in our communities is to strengthen our gun laws,” Mr. Murphy said. “Let’s start there.” Mr. Brotman acknowledged that there were similar sentiments among architects. But he said schools built around a set of established principles known as Crime Prevention Through Environmental Design would protect children better from a host of threats, including bullying and gang violence. These design principles call for buildings that allow those inside to see the outside surroundings easily; tight control of access, starting at the perimeter of the property and moving inward; and transparency within the building. At the new Sandy Hook school, which opened in 2016, a rain garden across the front creates a natural barrier between the building and the parking lot. The garden area serves as a filter for rainwater runoff from the roof. But it also requires visitors to the school to cross one of three bridges to enter, limiting entry points and giving staff members a clear view of who is coming in, Mr. Brotman said. The ground around the building slopes away. That allows the classroom windows to be low enough for children to see out while still being high above the ground. The school has plenty of security equipment as well, like cameras and automatic lockdown capability. But the focus was on creating “a fabulous learning environment for the children,” while keeping the security technology as unobtrusive as possible, Mr. Brotman said. JCJ Architecture, with offices in seven states, emphasized good visibility and openness in its design of Hunking Middle School in Haverhill, Mass., said James E. LaPosta Jr., a principal and chief architectural officer at the firm. Opened in 2016, the school has wide, naturally lit hallways that are open to view from classroom windows and glass-walled gathering spaces. Collaborative study areas in some hallways add more of a sense of activity, reducing opportunities for bullying, Mr. LaPosta said. “It ensures that adults have visibility in all areas,” he said. “But there are still places of refuge.” For example, lockers are positioned on the outside of classroom walls to provide a shield behind which students can hide if necessary and not be seen from the hallway. Doors connecting classrooms provide another way out of the rooms. Michael Pinto, a principal in the Los Angeles office of NAC Architecture, said he had become a “reluctant expert” in such design practices because he had seen communities overreact and sacrifice proven design strategies for effective learning in a rush to address safety concerns. “We want to make sure the safety discussion doesn’t overwhelm the other things we have to think about,” he said. Yet research into the effectiveness of design as a way to prevent crime in schools is scarce, aside from a few studies that found that the approach had made students feel safer on college campuses, said Auzeen Shariati, an assistant professor of criminal justice at St. Joseph’s College in Patchogue, N.Y. Ms. Kotob of Hord Coplan Macht acknowledged that there was not much empirical data to back up the effectiveness of the design principles in schools but said studies were being conducted. Her firm just finished designing a student life center at the Stone Ridge School of the Sacred Heart, a private girls’ school in Bethesda, Md. The designers sought ideas from a security task force of parents and administrators, who suggested changes like moving an outdoor dining terrace away from the street and behind a landscaped buffer zone. The building will have hardened glass in the main vestibule to prevent anyone from breaking through. Glass will also be used strategically throughout the building to give teachers high visibility, she said. Classrooms are designed to have “blind spots” where students can hide from the hallway. Some school safety advocates seek to push the discussion further. Communities should not limit discussions about school safety to the structure of the building, said Deborah Temkin, a senior program area director specializing in school health and climate at Child Trends, a research organization in Bethesda. Often, the threat to safety comes from within, and a student walking the halls every day who wants to commit an act of violence can figure out where the blind spots are, she said. “What we know works is building a community where there is mutual trust,” she said. “Open lines of communication, mechanisms to engage with teachers in multiple ways, making sure at least one adult is connected to every single student in some way. It all has to be integrated.”"
176,"BRUSSELS (Reuters) - The launch of the new European Commission, the European Union’s executive arm, is likely to be delayed by a month because the European Parliament has rejected three candidates proposed by EU governments for commissioners, several EU officials said on Monday. Josep Borrell, the incoming EU foreign affairs chief, told reporters in Luxembourg it was “reasonable” to expect a delay of the start of the new Commission of Ursula von der Leyen until Dec. 1 from the original date of Nov. 1. The delay is to give the governments of Hungary, Romania and France time to propose new candidates for commissioners after their initial choices failed to pass European Parliament hearings. “The schedule of when exactly the new Commission can be in place is in the hands of the three governments and the European Parliament,” one EU official said. A likely date for a parliamentary vote approving the Commission as a whole was a plenary session in Strasbourg on Nov. 28, the official said. Delays of in the new Commission taking office are not unusual. The EU executive headed by Jose Manuel Barroso had a three week delay in 2004 because the parliament rejected the Italian Rocco Buttiglione for commissioner. The second Barroso commission started even later, only in February 2010, because of the time needed to organize a parliamentary hearing for Kristalina Georgieva who replaced the also rejected Bulgarian candidate Rumiana Jeleva. Reporting By Jan Strupczewski, Robin Emmott and Gabriela Baczynska; editing by Grant McCool"
177,"I dedicate this column to my mother, who passed away last Thursday and cared deeply about protecting women from sexual abuse. Senators Lisa MurkowskiLisa Ann MurkowskiThe Hill's Morning Report - Progressives, centrists clash in lively Democratic debate Senate braces for brawl over Trump's spy chief Congress kicks bipartisan energy innovation into higher gear MORE (R-Alaska), Susan CollinsSusan Margaret CollinsCook Political Report moves Susan Collins Senate race to 'toss up' The Hill's Morning Report — Trump and the new Israel-'squad' controversy  Trump crosses new line with Omar, Tlaib, Israel move MORE (R-Maine) and Jeff FlakeJeffrey (Jeff) Lane FlakeArpaio considering running for former sheriff job after Trump pardon Overnight Energy: Warren edges past Sanders in poll of climate-focused voters | Carbon tax shows new signs of life | Greens fuming at Trump plans for development at Bears Ears monument Carbon tax shows new signs of life in Congress MORE (R-Ariz.) are the last check and balance against those who would abuse the responsibilities of the United States Senate on the fundamental matters of justice in America and equal rights under law for all Americans, including and especially women. Before casting their vote on the confirmation of Judge Brett Kavanaugh to serve on the Supreme Court, Murkowski, Collins and Flake owe the women of America their answers to the following questions. Do you believe that President TrumpDonald John TrumpTrump pushes back on recent polling data, says internal numbers are 'strongest we've had so far' Illinois state lawmaker apologizes for photos depicting mock assassination of Trump Scaramucci assembling team of former Cabinet members to speak out against Trump MORE or Senate Republican leaders ever sought the truth about the allegations of sexual abuse offered by three women who have come forward, knowing the vicious attacks against them that would inevitably follow? Do you believe that the Senate Judiciary Committee conducted adequate hearings to seek the truth in good faith about the allegations of abuse, or do you believe the committee pushed through a committee vote to confirm Kavanaugh without a fair and reasonable search for that truth? Do you believe that the Trump White House aggressively obstructed and impeded the FBI background check on Kavanaugh and aggressively prevented FBI interviews with key corroborating witnesses suggested by the women? When a significant number of credible witnesses who came forward pleading to be interviewed by the FBI were treated disrespectfully and contemptuously and were refused the opportunity to present the facts and evidence, do you believe this constituted a search for truth? Do you believe that Judge Kavanaugh told the truth during his confirmation testimony about his behavior when he was in prep school and college on matters related to the allegations of the women, or do you believe he testified falsely under oath? If it is true that Kavanaugh was not interviewed during the FBI background check, why do you believe Kavanaugh or the White House prevented him from being questioned? When Trump launched his mocking, ridiculing and insulting attack against Dr. Christine Blasey Ford, do you understand why this attack did so much damage to women across America making the hard decision of whether to come forward or remain silent after they have been assaulted? Today, there are women across America who are making the agonizing decision about whether to come forward with their stories of being sexually assaulted. How do you believe they will feel if the president, the Senate Judiciary Committee and the full Senate show the callous disregard of their rights by not conducting a fair and full investigation of their claims? Do you believe FBI Director Christopher Wray should be called to testify about whether or not the FBI background check on Kavanaugh was obstructed by White House interference with the FBI?  Why don’t you contact the FBI director privately and ask him this question before you cast your votes? There are public reports that Wray is keeping contemporaneous notes about White House limits imposed against the FBI background check. If this is true, he should disclose any interference before the Senate votes, not after the vote.  Do you believe the inspector general of the Justice Department should be asked to investigate the possibility of White House obstruction of the FBI background check of Kavanaugh? If not, why? Do you believe that Judge Kavanaugh, in his scorched-earth testimony before the Judiciary Committee demonstrated even a minimal sense of judicial temperament?  Do you understand why a long list of potential Supreme Court litigants will conclude they can never get a fair hearing before Justice Kavanaugh on the Supreme Court? Do you believe Judge Kavanaugh, if confirmed, should recuse himself from any case involving any party he attacked during his confirmation process? Do you fully understand why many of the most vulnerable women America will find their lives profoundly affected and how, 100 years from now, the final verdict will be rendered by the high court of history, based on how you answer these questions and how you cast your vote? Brent Budowsky was an aide to former Sen. Lloyd Bentsen (D-Texas) and former Rep. Bill Alexander (D-Ark.), who was chief deputy majority whip of the House of Representatives. He holds an LLM in international financial law from the London School of Economics. View the discussion thread. The Hill 1625 K Street, NW Suite 900 Washington DC 20006 | 202-628-8500 tel | 202-628-8503 fax The contents of this site are ©2019 Capitol Hill Publishing Corp., a subsidiary of News Communications, Inc."
178,"After EPA Administrator Scott PruittEdward (Scott) Scott PruittEnvironmentalists renew bid to overturn EPA policy barring scientists from advisory panels Six states sue EPA over pesticide tied to brain damage Overnight Energy: Trump EPA looks to change air pollution permit process | GOP senators propose easing Obama water rule | Green group sues EPA over lead dust rules MORE announced that he will implement a policy to make our government more accountable to the American people, we’ve seen massive media coverage misrepresenting the potential effects of such a policy. Regrettably, the EPA is able to make rules and regulations based on data that not even rule-makers at the agency have seen. It’s time to change that. We all want clean air and clean water, both today and for future generations. It is the EPA’s mission to ensure that happens. We all also agree that the best available science should underlie EPA’s rules and regulations. I have long worked to implement a policy that requires the EPA to base its rules on science that is publicly available. Opponents disagree – they prefer to keep this data hidden. But if we do that, how could we – scientists, policymakers and American citizens – confirm that the regulations that dramatically impact our lives are based on the best available science? If all we can see are studies’ conclusions, we don’t know whether those conclusions are based on sound science. Those who oppose making the data public claim it will expose personal information. But confidential patient data and other personal information should and can be kept private. Making data publicly available, as I’ve advocated in the Honest and Open New EPA Science Treatment Act (HONEST Act), does not mean making confidential information available to anyone with a keyboard. In fact, there are several ways to make data public without revealing any confidential information. Redacting personally identifying information is one option that agencies across the federal government have used for years. Where redaction would limit the quality of datasets for individuals who wish to see the data underlying a study, access could be granted after they agree to keep the data confidential. Much of the data that is currently available already requires those requesting datasets to fulfill contractual obligations, preventing them from disseminating confidential patient information. While the HONEST Act’s opponents ignore these facts, others in the scientific community recognize the importance of access to data. The Association of American Universities (AAU) and the Association of Public Land-Grant Universities (APLU) recently provided recommendations for agencies implementing the Obama administration’s public access requirements. The AAU and APLU highlight the “growing demand among scholars and the public to have broader access to each other’s data” and recommend that the minimum standard be “data that are essential to understanding and reproducing peer reviewed publications ... to be accessible for re-analysis,” while adhering to rules protecting personal information. Those in the scientific community who support disclosing data while protecting confidential information should also support the HONEST Act, which furthers the same goals. Many opponents of open data have wrongly concluded that requiring new regulations to be based on “publicly available” data will disqualify studies from being considered. A recent article alleges that such a policy would “force the EPA to ignore” studies based on confidential health information. This argument is fraudulent. The reality is that the EPA will consider these studies when they adhere to the publicly available standard. Open access to science is a goal that furthers public debate and benefits the American people. So the HONEST Act is receiving unfounded criticism from those who know that the data may not justify the regulations. The American people have a right to understand why and how regulatory decisions are made. Smith is chairman of the House Science, Space, and Technology Committee. View the discussion thread. The Hill 1625 K Street, NW Suite 900 Washington DC 20006 | 202-628-8500 tel | 202-628-8503 fax The contents of this site are ©2019 Capitol Hill Publishing Corp., a subsidiary of News Communications, Inc."
179,"(Corrects spelling of Van Bavel in third paragraph) By John Kemp LONDON, Feb 22 (Reuters) - Highly intelligent people may be more rather than less likely to succumb to motivated reasoning, cherry-picking evidence to reinforce their existing beliefs and ignoring contradictory data. Even with people with high numerally skills were unable to reason analytically when the correct answer collided with their political beliefs, according to a forthcoming journal article in “Trends in Cognitive Sciences”. In fact, people with high information-processing skills were the most likely to express beliefs consistent with their political standpoint (“The partisan brain: an identity-based model of political belief” Van Bavel and Pereira, 2018). The authors focus on the role of ideology and political partisanship in the United States, but many of the same arguments about motivated reasoning apply to the energy sector. Many of the most important issues in the energy world, including the impact of OPEC on oil prices, climate change, the transition to clean energy, the future of fossil fuels and electric cars, renewable energy and peak oil, have become intensely emotional. In some cases, the intensity of energy debates has been heightened because it has become conflated with political partisanship. In others, the ferocity of disputes stem from origins that lie outside politics. Views about peaking oil demand, electric cars and OPEC have become an important marker of social identity, and people will cling to them even when presented with contradictory evidence. The problem with motivated reasoning is that it strongly distorts not just policy preferences but the way people process information and even the way they perceive and interpret the same piece of data. The authors blame much of this motivated reasoning on the “tribal nature” of the human mind, which leads people to value dogma over truth. Belief in a particular ideology, whether about politics or an issue in the energy sector, provides an important and satisfying sense of group belonging as well as access to resources and patronage. But when the demands of ideology and group membership clash with the evidence, many individuals will disregard contradictory data rather than modify their thinking or risk losing group approval. “Social identities have been shown to shape the way people interpret information. In turn, interpretations of the world shape political attitudes, judgements and behaviours,” Van Bavel and Pereira write. “Because people believe that they see the world around them objectively, members of other parties who disagree with them are seen as uninformed, irrational or biased.” “Partisan identities bias a broad range of judgements, even when presented with facts that contradict them,” according to the authors. What the authors describe as “our ancient capacity for tribalism”, recognising similar characteristics in others, may originally have served a useful evolutionary purpose. But it can be fatal to a calm and constructive analysis of problems whether they are about high politics or energy issues. Many of the fierce disagreements around future peaks in oil demand and the uptake of electric vehicles, for example, or the impact of OPEC on oil prices, are not really disagreements about technical issues but disputes about values and ideology. Tribalism is what turns so many discussions about energy into an emotive shouting match between opponents who accuse each other of being at best uninformed and incompetent or at worst mendacious. In most cases, energy professionals would be better served by dialling back on the heated rhetoric and exploring the issues more calmly and with an open mind. Unfortunately, much of the analysis in the energy sector comes from individuals and institutions promoting a distinctive viewpoint rather than taking a more data-driven empirical approach. Dispassionate analysis has often become inextricably mixed up with highly motivated lobbying and advocacy, to the severe detriment to the quality of the analysis. In general, individuals and institutions can be good analysts, or good lobbyist/advocates, but not both. Mixing the two is almost always a mistake. Related column: “Media, markets and groupthink”, Reuters, March 18, 2009 (Editing by David Evans)"
180,"SAO PAULO, March 7 (Reuters) - Brazil's move to accelerate construction of an electric line to the northern state of Roraima, which now relies on crisis-ridden Venezuela for power, could violate the rights of indigenous peoples whose land it must cross, a federal prosecutor told Reuters. Roraima is not connected to the rest of Brazil's power grid, and its electricity supply from Venezuela has experienced outages amid that country's economic collapse. President Jair Bolsonaro's stance against the Venezuelan government of Nicolas Maduro, including his recognition of opposition leader Juan Guaido as the country's interim president, has raised fears Maduro could cut off power coming across the border. The power line project to connect Roraima with the power grid in Amazonas state was auctioned off in 2011, but it has been held up in the licensing process. The power line must cut across 120 kms (75 miles) of an indigenous reserve, home to the Waimiri-Atroari, who were nearly wiped out in the last century, complicating the process. Presidential spokesman Otavio Rego Barros said last week the government would declare the project ""of national interest,"" allowing it to obtain an installation license in time to start construction in the second half of this year. That could potentially speed up or skip the step requiring the indigenous tribe to be consulted. ""The measure could be challenged. I'm concerned over the attempt to simplify the debate, as if the Indians were a hindrance or impediment to construction,"" Julio Jose Araujo Jr., a federal prosecutor in Amazonas state, said in an interview this week. Consultations with the affected indigenous people are required but nonbinding for the project's ultimate approval, and Araujo argued that the obligation has not been taken seriously since the start. ""There is a clear silencing of these groups in the construction of the project, since its conception,"" he said Federal prosecutors have launched various challenges, including one that would have made the consultations binding, but that was struck down by a court in January. Barros, the presidential spokesman, said the government wants to talk with indigenous leaders but that ""the interest of national sovereignty overrides other issues."" The Waimiri-Atroari have been nearly wiped out since the beginning of the 1900s due to diseases after contact with settlers and after fighting with the military. ""You can call it genocide ... it was decades of attacks, massacres and epidemic deaths,"" said Stephen Baines, a University of Brasilia anthropologist who studied the group in the 1970s. (Reporting by Luciano Costa; Writing by Jake Spring; Editing by Jeffrey Benkoe)"
181,"May 8 (Reuters) - Adams Resources & Energy Inc: * Q1 loss per share $0.20 * Q1 revenue $303.1 million versus $250.5 million * Adams resources & energy inc says its unit gulfmark energy, inc., marketed approximately 66,360 barrels of oil per day during q1 of 2017 Source text (bit.ly/2poEgyD) Further company coverage:"
182,"Burlington Stores could be the next retailer to rebound, CNBC's Jim Cramer said Friday. The stock was crushed, plunging 16%, after a rare sales miss in its most recent earnings results. Cramer pointed out that the March report marked the first time in 24-consecutive quarters that same-store-sales growth did not meet estimates. ""I think you should buy this stock ahead of ... Wednesday, when I expect everyone to hear that Burlington's issues have been cleared up,"" the ""Mad Money"" host said. Burlington's ""mea culpa was overdone"" on the earnings call, Cramer said. He compared Burlington to Home Depot, the shares of which also plummeted after disappointing fourth-quarter earnings and sales. The home improvement retailer said a bad weather during the three-month span cut into foot traffic and, in turn, sales at its stores. Shares of Home Depot have since recovered those losses and risen above its February levels, climbing more than 18% in 2019. Burlington looks to be in a similar position, Cramer said. Despite weak sales in its women's apparel and winter inventories, other items sold as according to plan, he said. With spring in full swing, investors will forget the winter ailments that plagued some of the best merchants out there, he added. ""[CEO Tom] Kingsbury's got a fantastic team and I don't think they're gonna repeat whatever fashion mistakes they made last quarter. They're too talented to mess up the same way twice,"" Cramer said. Kingsbury has helmed the company for more than a decade. Furthermore, Burlington is sending representatives to give a Wednesday presentation at JP Morgan Chase's annual Boss' Retail Round-Up Conference, the host noted. Cramer expects the company to illustrate that spring weather will be a boost for its stores. ""If that happens, the stock would rebound like a coiled spring from these levels,"" he said. ""I really like the risk-reward here. Burlington Stores is a great company that deserves the benefit of the doubt after its brief stumble."" Disclosure: Cramer's charitable trust owns shares of Home Depot. Questions for Cramer? Call Cramer: 1-800-743-CNBC Want to take a deep dive into Cramer's world? Hit him up! - Jim Cramer Twitter - Facebook - Instagram Questions, comments, suggestions for the ""Mad Money"" website? madcap@cnbc.com"
183,"MILAN (Reuters) - Italian gas grid company Snam has launched a 33 million euro ($40 million) tender to convert its car fleet to natural gas in a sign of its commitment to develop gas fuelling stations in the country. The move comes as utilities across Europe race to embrace the fast-growing business of rolling out charging stations to meet carmaker pledges to move fleets to electric drives. Snam, controlled by state lender CDP, said in a tender it had set a Feb. 16 deadline for bids from European companies to convert its 1,500 vehicle fleet to natural gas. The supply contracts will be for three years, it said. Europe’s biggest gas pipeline operator has pledged to spend 150 million euros to build 300 new gas fuelling stations to beef up the country’s existing 1,100 points. Italy is the leading European market for natural gas-fuelled cars, with motorists guzzling more than 1 billion cubic meters in 2015 and about 1 million vehicles in circulation. Snam CEO Marco Alvera told Reuters that by adding more stations the market could expand to 2-3 million vehicles and would be able to complement electric cars. “I drive a hybrid car, and I think the future will be gas and electricity - plug-in hybrids,” he said. Snam is looking to play a key role in helping develop new gas infrastructure and technology for Italy’s transport sector including the use of liquefied natural gas to drive ships. It has already inked deals with oil major Eni and leading petrol pump network API as well as carmaker Fiat Chrysler. Fiat CEO Sergio Marchionne is one of the few car bosses who has largely resisted the plug-in vogue, signing a deal with Eni in November to study new gas fuels to reduce carbon emissions. Snam makes most of its money from gas transmission in Italy and Europe but under Alvera has been looking for ways to create new faster-growing businesses to attract investors. Last April it signed an agreement to help modernize Ukraine’s gas network. ($1 = 0.8321 euros) Reporting by Stephen Jewkes; Editing by Adrian Croft"
184,"Aug 1 (Reuters) - Pipeline operator TC Energy reported a 43.3% rise in second-quarter profit on Thursday, helped by higher volumes of crude shipped on its Keystone Pipeline System. The Calgary-based company’s net income attributable to shareholders rose to C$1.13 billion ($854.70 million), or C$1.21 per share, in the quarter ended June 30, from C$785 million, or 88 Canadian cents per share, a year earlier. Revenues rose to C$3.37 billion from C$3.20 billion. ($1 = C$1.32) (Reporting by Arundhati Sarkar in Bengaluru)"
185,"A campaign for a referendum on Taiwan's independence has been launched with backing from two former presidents, local media reported Wednesday. Lee Teng-hui and Chen Shui-bian, who have both served as heads of state, voiced their support for an initiative to hold a vote on April 6, 2019, according to Focus Taiwan News Channel. Taiwan's official name is the Republic of China. The island's status as an independent nation is complicated by its neighbor China, who regards the island as a renegade province under the One China Policy. As a result, Taiwan is not permitted to be a member of the United Nations or other international organizations. Lee, as reported by Focus Taiwan, described the proposed vote as the ""most powerful weapon"" that would enable the Taiwanese people to establish a ""normal country."" The campaign to call a referendum was launched by Kuo Bei-hong, chairman of Formosa Television channel. Read more at Focus Taiwan News Channel."
186,
187,"TO A casual observer of the past week’s news, it might seem as though Britain’s university application process was designed to dissuade black students. The latest outbreak of the debate about access was prompted by a revelation by David Lammy, a Labour MP and former education minister, that ten out of 32 colleges at Oxford and six out of 29 at Cambridge did not admit a single black A-level pupil in 2015. Mr Lammy accused the universities of fostering “social apartheid”. Despite enduring problems in gaining access to the most elite institutions, and evidence that some universities accept fewer black candidates than would be expected given their grades, black pupils are more likely than most to attend university. Some 57% of those classified as “black African” and 37% of those classified as “black Caribbean” go to university, compared with 33% of white pupils (see chart). “What goes on in a few colleges in Oxford is not representative of higher education as a whole,” notes Jacqueline Stevenson of Sheffield Hallam University. Upgrade your inbox and get our Daily Dispatch and Editor's Picks. Yet once enrolled, black students do worse than those of other ethnic groups. Half get firsts or upper-seconds, compared with 78% of white students. A study by the Department for Education in 2007 found that a significant gap remained even when adjusting for things like the type of university, prior attainment and poverty. Black students are also more likely than average to drop out, with more than 10% not finishing their degrees. What explains the gap? One argument advanced by student activists is that black students are alienated by an education system that does not reflect their experience. “Why Is My Curriculum White?”, a campaign that began at University College London, challenges the “Eurocentric nature” and “whiteness” of what is taught. Another campaign, “Rhodes Must Fall”, argued that a statue of the Victorian colonialist at Oxford symbolised that the university was not for black students. Across Britain, just 0.4% of professors are black. Universities have focused on more practical obstacles. Black students are more likely than average to live at home (in part because many attend university in London, where rent is eye-wateringly expensive) and students who live at home are more likely to drop out. One university discovered that tickets for freshers’ events were being sold only in halls of residence, excluding those living at home. Although universities are slowly waking up to the issue, faster change is needed, says Ilyas Nagdee of the National Union of Students. After crunching data in 2012, Nona McDuff, a senior official at Kingston University, realised that the gap in performance could not be explained by students’ choice of subject, their work outside of university or other similar factors. Rather, there was enough to say that “it was something we were doing.” As a result, Kingston made a variety of changes. It has set up cheap “flexi-stay” accommodation to allow those with a long commute to stay over if they have an early start the next morning. Lecturers get credit for showing that they have thought about the ethnicity gap when being assessed for promotion. Kingston’s governing board now judges the university’s success partly by whether it has made progress in closing the divide. Although many of the changes were small, the cumulative effect has been to narrow the ethnic-minority attainment gap by ten percentage points in five years. Other universities would be well advised to pay attention."
188,
189,"The Group of Seven (G-7) summit is set to end without a joint communique for the first time in its 44-year history, after French President Emmanuel Macron decided to abandon the tradition citing ""a very deep crisis of democracy."" It will be the first time since meetings began in 1975 that the forum has failed to end a summit without an agreed statement, laying bare the deepening rift between heads of state from seven of the world's largest economies. Speaking to reporters ahead of the G-7 meeting at a news conference in Paris on Wednesday, Macron said an attempt to produce a joint communique would most likely be a ""pointless"" exercise. He referenced President Donald Trump's decision to withdraw from a landmark climate agreement restricting global efforts to cut carbon as one example of why it would be difficult to display a united front. The annual summit brings together the leaders of Britain, Canada, France, Germany, Italy, Japan and the United States. It will be held in the seaside town of Biarritz in southwest France from Saturday through to Monday. Securing an agreement at the annual summit has proved increasingly difficult in recent years, partly because the U.S. president has expressed a preference for bilateral trade pacts over multilateral agreements. ""It is impossible to predict what the U.S. will do — we might be in for some surprises from Trump,"" Agathe Demarais, global forecasting director at the Economist Intelligence Unit (EIU), told CNBC via telephone. ""I'm not sure what he is going to do, maybe Trump doesn't know either,"" Demarais said, citing the U.S. as a notable exception in its approach to handling disputes. Last year, at the G-7 summit in Ottawa, Canada, Trump threw typically stage-managed proceedings into disarray. The U.S. president made an early exit from the meeting, refused to sign the collective final statement and engaged in personal insults over trade with Canadian Prime Minister Justin Trudeau. The summit appeared to demonstrate fraying ties between the U.S. and its traditional allies, with one photo seemingly summing up divisions in the room. The image, which appeared on German Chancellor Angela Merkel's Instagram account, showed world leaders gathered around Merkel on one side of a table, while a seated Trump looked on with his arms folded. From a French perspective, the hosts will ""want to try to manage this G-7 so it doesn't turn into another embarrassing mess with everyone arguing with each other,"" Constantine Fraser, European political analyst at the TS Lombard research group, told CNBC via telephone. ""I think it is quite possible"" there will be no joint communique at the end of this year's summit, Fraser said, before adding the statement was now little more than an ""increasingly desperate fig leaf."" ""The G-7 is no longer for the world's richest countries to show a united front... And the lack of a joint communique is a recognition of where we are at,"" Fraser said. French media dubbed last year's gathering in Ottawa as the ""G-6+1 summit,"" citing Washington's refusal to sign the final statement. Alongside environment and trade, analysts expect Brexit, inequality, the possible reinstatement of Russia and universal taxation on digital giants to dominate proceedings. Late last month, Trump warned he ""might"" slap tariffs on French wine in response to the country's new tax affecting technology companies. ""This is a very, very contentious topic. France wants to impose this digital tax but the problem is most digital giants are American,"" the EIU's Demarais said. France passed a 3% charge in early July that would affect firms such as Facebook and Google. It is expected to draw about $28 million or more in revenue from digital services in France. The Trump administration has since started an investigation under Section 301 of the Trade Act of 1974. ""France has decided to go ahead with this tax knowing it will provoke the U.S. ... Trump will get angry and there will probably be a big row about it,"" TS Lomabrd's Fraser said."
